"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source"
"09/04/2020","71","PM2.5","San Pablo","06-013-1004","AirNow"
"09/05/2020","129","Ozone","Hayward","06-001-2001","AirNow"
"09/06/2020","166","Ozone","Hayward","06-001-2001","AirNow"
"09/07/2020","109","PM2.5","Livermore","06-001-0007","AirNow"
"09/08/2020","114","PM2.5","Livermore","06-001-0007","AirNow"
"09/09/2020","96","PM2.5","Berkeley Aquatic Park","06-001-0013","AirNow"
"09/10/2020","186","PM2.5","San Francisco","06-075-0005","AirNow"
"09/11/2020","218","PM2.5","Oakland","06-001-0009","AirNow"
"09/12/2020","185","PM2.5","Livermore","06-001-0007","AirNow"
"09/13/2020","180","PM2.5","San Francisco","06-075-0005","AirNow"
"09/14/2020","183","PM2.5","Oakland","06-001-0009","AirNow"
"09/15/2020","96","PM2.5","Pleasanton - Owens Ct","06-001-0015","AirNow"
"09/16/2020","33","Ozone","Livermore","06-001-0007","AirNow"
"09/17/2020","30","Ozone","Bethel Island","06-013-1002","AirNow"
"09/18/2020","36","Ozone","Bethel Island","06-013-1002","AirNow"
"09/19/2020","46","PM2.5","Concord","06-013-0002","AirNow"
"09/20/2020","75","PM2.5","Concord","06-013-0002","AirNow"
"09/21/2020","66","PM2.5","Livermore","06-001-0007","AirNow"
"09/22/2020","40","Ozone","Bethel Island","06-013-1002","AirNow"
"09/23/2020","31","Ozone","Bethel Island","06-013-1002","AirNow"
"09/24/2020","32","Ozone","Bethel Island","06-013-1002","AirNow"
"09/25/2020","50","PM2.5","Berkeley Aquatic Park","06-001-0013","AirNow"
"09/26/2020","45","PM2.5","Pleasanton - Owens Ct","06-001-0015","AirNow"
