"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/01/2019","34","NO2","Berkeley Aquatic Park","06-001-0013","AQS"
"01/02/2019","50","PM2.5","Livermore","06-001-0007","AQS"
"01/03/2019","71","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS"
"01/04/2019","87","PM2.5","Oakland West","06-001-0011","AQS"
"01/05/2019","62","PM2.5","Concord","06-013-0002","AQS"
"01/06/2019","34","Ozone","San Francisco","06-075-0005","AQS"
"01/07/2019","39","NO2","San Francisco","06-075-0005","AQS"
"01/08/2019","34","PM2.5","Pleasanton - Owens Ct","06-001-0015","AQS"
"01/09/2019","34","Ozone","San Rafael","06-041-0001","AQS"
"01/10/2019","55","PM2.5","Oakland West","06-001-0011","AQS"
"01/11/2019","48","PM2.5","San Rafael","06-041-0001","AQS"
"01/12/2019","42","PM2.5","Redwood City","06-081-1001","AQS"
"01/13/2019","48","PM2.5","San Pablo","06-013-1004","AQS"
"01/14/2019","43","PM2.5","Pleasanton - Owens Ct","06-001-0015","AQS"
"01/15/2019","37","Ozone","San Rafael","06-041-0001","AQS"
"01/16/2019","38","Ozone","San Francisco","06-075-0005","AQS"
"01/17/2019","54","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS"
"01/18/2019","56","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS"
"01/19/2019","55","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS"
"01/20/2019","39","Ozone","San Pablo","06-013-1004","AQS"
"01/21/2019","35","Ozone","Bethel Island","06-013-1002","AQS"
"01/22/2019","36","NO2","Laney College","06-001-0012","AQS"
"01/23/2019","45","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS"
"01/24/2019","57","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS"
"01/25/2019","57","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS"
"01/26/2019","61","PM2.5","Concord","06-013-0002","AQS"
"01/27/2019","74","PM2.5","San Pablo","06-013-1004","AQS"
"01/28/2019","57","PM2.5","Redwood City","06-081-1001","AQS"
"01/29/2019","51","PM2.5","Redwood City","06-081-1001","AQS"
"01/30/2019","54","PM2.5","Livermore","06-001-0007","AQS"
"01/31/2019","66","PM2.5","Livermore","06-001-0007","AQS"
"02/01/2019","40","Ozone","San Francisco","06-075-0005","AQS"
"02/02/2019","41","Ozone","Concord","06-013-0002","AQS"
"02/03/2019","38","Ozone","San Francisco","06-075-0005","AQS"
"02/04/2019","38","Ozone","Concord","06-013-0002","AQS"
"02/05/2019","33","NO2","Pleasanton - Owens Ct","06-001-0015","AQS"
"02/06/2019","35","Ozone","Hayward","06-001-2001","AQS"
"02/07/2019","41","PM2.5","Oakland West","06-001-0011","AQS"
"02/08/2019","46","PM2.5","San Pablo","06-013-1004","AQS"
"02/09/2019","41","Ozone","San Pablo","06-013-1004","AQS"
"02/10/2019","40","Ozone","Redwood City","06-081-1001","AQS"
"02/11/2019","39","PM2.5","Livermore","06-001-0007","AQS"
"02/12/2019","41","Ozone","Redwood City","06-081-1001","AQS"
"02/13/2019","40","Ozone","Redwood City","06-081-1001","AQS"
"02/14/2019","41","Ozone","San Pablo","06-013-1004","AQS"
"02/15/2019","39","Ozone","Concord","06-013-0002","AQS"
"02/16/2019","38","Ozone","Concord","06-013-0002","AQS"
"02/17/2019","39","Ozone","Redwood City","06-081-1001","AQS"
"02/18/2019","36","NO2","San Francisco","06-075-0005","AQS"
"02/19/2019","40","NO2","Laney College","06-001-0012","AQS"
"02/20/2019","36","Ozone","San Pablo","06-013-1004","AQS"
"02/21/2019","37","Ozone","San Pablo","06-013-1004","AQS"
"02/22/2019","37","Ozone","Concord","06-013-0002","AQS"
"02/23/2019","34","Ozone","Hayward","06-001-2001","AQS"
"02/24/2019","39","Ozone","Concord","06-013-0002","AQS"
"02/25/2019","42","NO2","San Ramon","06-013-2007","AQS"
"02/26/2019","34","Ozone","San Rafael","06-041-0001","AQS"
"02/27/2019","36","Ozone","San Pablo","06-013-1004","AQS"
"02/28/2019","39","Ozone","Concord","06-013-0002","AQS"
"03/01/2019","38","PM2.5","Redwood City","06-081-1001","AQS"
"03/02/2019","36","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS"
"03/03/2019","34","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS"
"03/04/2019","34","Ozone","Bethel Island","06-013-1002","AQS"
"03/05/2019","36","Ozone","San Rafael","06-041-0001","AQS"
"03/06/2019","39","Ozone","San Pablo","06-013-1004","AQS"
"03/07/2019","39","Ozone","Concord","06-013-0002","AQS"
"03/08/2019","42","Ozone","Concord","06-013-0002","AQS"
"03/09/2019","40","Ozone","Concord","06-013-0002","AQS"
"03/10/2019","37","Ozone","Hayward","06-001-2001","AQS"
"03/11/2019","37","NO2","Laney College","06-001-0012","AQS"
"03/12/2019","39","Ozone","Concord","06-013-0002","AQS"
"03/13/2019","42","Ozone","Livermore","06-001-0007","AQS"
"03/14/2019","43","Ozone","Concord","06-013-0002","AQS"
"03/15/2019","46","Ozone","Concord","06-013-0002","AQS"
"03/16/2019","48","Ozone","Concord","06-013-0002","AQS"
"03/17/2019","50","Ozone","Hayward","06-001-2001","AQS"
"03/18/2019","54","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS"
"03/19/2019","57","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS"
"03/20/2019","46","Ozone","San Francisco","06-075-0005","AQS"
"03/21/2019","43","Ozone","San Francisco","06-075-0005","AQS"
"03/22/2019","39","Ozone","San Francisco","06-075-0005","AQS"
"03/23/2019","49","Ozone","San Francisco","06-075-0005","AQS"
"03/24/2019","47","Ozone","San Francisco","06-075-0005","AQS"
"03/25/2019","40","Ozone","Hayward","06-001-2001","AQS"
"03/26/2019","43","Ozone","Concord","06-013-0002","AQS"
"03/27/2019","44","Ozone","San Francisco","06-075-0005","AQS"
"03/28/2019","47","NO2","Laney College","06-001-0012","AQS"
"03/29/2019","42","Ozone","San Francisco","06-075-0005","AQS"
"03/30/2019","38","Ozone","Redwood City","06-081-1001","AQS"
"03/31/2019","43","Ozone","Concord","06-013-0002","AQS"
"04/01/2019","42","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS"
"04/02/2019","37","Ozone","San Francisco","06-075-0005","AQS"
"04/03/2019","32","Ozone","San Francisco","06-075-0005","AQS"
"04/04/2019","34","Ozone","San Francisco","06-075-0005","AQS"
"04/05/2019","43","Ozone","San Francisco","06-075-0005","AQS"
"04/06/2019","41","Ozone","Livermore","06-001-0007","AQS"
"04/07/2019","34","Ozone","Livermore","06-001-0007","AQS"
